BOTTLE,20210219CCHSIOCBG
320620170820,        P06,     214,          1,          2,          2,2,20170918,       2307,   -32.5002,   -92.6548,       4676,  4559.8,   1.8215,  34.6933,2,  34.6934,3, 165.2712,2,  164.917,2,   120.2,2,   34.52,2,    0.00,2,    2.39,2,   0.040,2,   0.026,2,   0.0000,2,  2300.8,2,  2398.3,2,   7.5881,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     2312, -32.4999, -92.6555,        0.0,1,      0.061,1,      4.682,1,      0.132,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.8220,2
320620170820,        P06,     214,          1,          3,          3,2,20170918,       2307,   -32.5002,   -92.6548,       4676,  4375.4,   1.7994,  34.6933,2,  34.6938,2, 165.2712,2, 165.2856,2,   120.2,2,   34.56,2,    0.00,2,    2.40,2,   0.035,2,   0.023,2,   0.0000,2,  2300.1,2,  2397.4,2,   7.5889,2,    25.00,  -999.0,9,  -999.0,    36.4,2, -999.00,9,     -999.0,1, 20170918,     2317, -32.5000, -92.6553,        0.0,1,      0.060,1,      4.683,1,      0.133,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.7999,2
320620170820,        P06,     214,          1,          4,          4,2,20170918,       2307,   -32.5002,   -92.6548,       4676,  4065.5,   1.7647,  34.6934,2,  34.6936,2, 165.2712,2, 165.3107,2,   120.3,2,   34.55,2,    0.00,2,    2.38,2,   0.039,2,   0.027,2,   0.0000,2,  2301.8,2,  2398.0,2,   7.5882,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     2323, -32.5000, -92.6553,        0.0,1,      0.060,1,      4.683,1,      0.131,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.7651,2
320620170820,        P06,     214,          1,          5,          5,2,20170918,       2307,   -32.5002,   -92.6548,       4676,  3760.1,   1.7344,  34.6932,2,  34.6926,2, 165.2712,2, 165.5545,2,   120.3,2,   34.52,2,    0.00,2,    2.39,2,   0.036,2,   0.026,2,   0.0000,2,  2301.1,2,  2397.7,2,   7.5883,2,    25.00,  -999.0,9,  -999.0,    37.2,2, -999.00,9,     -999.0,1, 20170918,     2329, -32.5000, -92.6554,        0.0,1,      0.060,1,      4.684,1,      0.130,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.7343,2
320620170820,        P06,     214,          1,          6,          6,2,20170918,       2307,   -32.5002,   -92.6548,       4676,  3453.5,   1.7158,  34.6927,2,  34.6928,2, 165.2486,2, 165.8313,2,   119.8,2,   34.50,2,    0.00,2,    2.39,2,   0.043,2,   0.032,2,   0.0000,2,  2298.6,2,  2396.3,2,   7.5884,6,    25.00,  -999.0,9,  -999.0,    37.2,2, -999.00,9,     -999.0,1, 20170918,     2335, -32.5001, -92.6552,        0.0,1,      0.060,1,      4.685,1,      0.130,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.7162,2
320620170820,        P06,     214,          1,          7,          7,2,20170918,       2307,   -32.5002,   -92.6548,       4676,  3145.3,   1.7660,  34.6880,2,  34.6881,2, 165.4782,2, 166.0241,2,   118.0,2,   34.39,2,    0.00,2,    2.39,2,   0.041,2,   0.031,2,   0.0000,2,  2295.6,2,  2394.4,2,   7.5880,2,    25.00,  -999.0,9,  -999.0,    37.4,2, -999.00,9,     -999.0,1, 20170918,     2342, -32.5000, -92.6554,        0.0,1,      0.060,1,      4.687,1,      0.128,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.7660,2
320620170820,        P06,     214,          1,          8,          8,2,20170918,       2307,   -32.5002,   -92.6548,       4676,  2875.8,   1.7783,  34.6848,2,  34.6844,2, 165.7137,2, 165.6664,2,   117.7,2,   34.40,2,    0.00,2,    2.38,2,   0.041,2,   0.030,2,   0.0000,2,  2294.4,2,  2391.6,2,   7.5863,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     2348, -32.5001, -92.6552,        0.0,1,      0.060,1,      4.687,1,      0.127,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.7757,2
320620170820,        P06,     214,          1,          9,          9,2,20170918,       2307,   -32.5002,   -92.6548,       4676,  2569.8,   1.8156,  34.6777,2,  34.6781,2, 164.6485,2, 164.3538,2,   116.6,2,   34.52,2,    0.00,2,    2.40,2,   0.041,2,   0.030,2,   0.0000,2,  2292.7,2,  2389.1,2,   7.5831,2,    25.00,  -999.0,9,  -999.0,    34.9,3, -999.00,9,     -999.0,1, 20170918,     2354, -32.5000, -92.6556,        0.0,1,      0.061,1,      4.688,1,      0.129,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.8110,2
320620170820,        P06,     214,          1,         10,         10,2,20170918,       2307,   -32.5002,   -92.6548,       4676,  2363.6,   1.8855,  34.6689,2,  34.6682,2, 161.7444,2, 161.1267,2,   114.8,2,   34.71,2,    0.00,2,    2.43,2,   0.043,2,   0.032,2,   0.0000,2,  2293.3,2,  2387.9,2,   7.5762,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170918,     2358, -32.5000, -92.6554,        0.0,1,      0.061,1,      4.687,1,      0.129,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     1.8829,2
320620170820,        P06,     214,          1,         11,         11,2,20170918,       2307,   -32.5002,   -92.6548,       4676,  2061.1,   2.1113,  34.6406,2,  34.6417,2, 155.9442,2,  156.196,2,   108.1,2,   35.19,2,    0.00,2,    2.44,2,   0.041,2,   0.028,2,   0.0000,2,  2291.0,2,  2381.2,2,   7.5678,2,    25.00,  -999.0,9,  -999.0,    36.2,2, -999.00,9,     -999.0,1, 20170919,        5, -32.5000, -92.6554,        0.0,1,      0.061,1,      4.688,1,      0.131,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.0984,2
320620170820,        P06,     214,          1,         12,         12,2,20170918,       2307,   -32.5002,   -92.6548,       4676,  1856.0,   2.3372,  34.6117,2,  34.6113,2, 150.3568,2, 151.0366,2,   101.4,2,   35.70,2,    0.00,2,    2.48,2,   0.041,2,   0.030,2,   0.0000,2,  2289.6,2,  2372.1,2,   7.5581,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170919,        9, -32.5000, -92.6556,        0.0,1,      0.061,1,      4.687,1,      0.133,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.3382,2
320620170820,        P06,     214,          1,         13,         13,2,20170918,       2307,   -32.5002,   -92.6548,       4676,  1652.4,   2.7217,  34.5807,2,  34.5812,2, 133.8736,2, 133.3587,2,    97.3,2,   37.27,2,    0.00,2,    2.61,2,   0.037,2,   0.025,2,   0.0000,2,  2293.9,2,  2368.7,2,   7.5278,2,    25.00,  -999.0,9,  -999.0,    35.4,2, -999.00,9,     -999.0,1, 20170919,       14, -32.5001, -92.6552,        0.0,1,      0.061,1,      4.686,1,      0.134,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.6981,2
320620170820,        P06,     214,          1,         14,         14,2,20170918,       2307,   -32.5002,   -92.6548,       4676,  1550.7,   2.8945,  34.5667,2,  34.5690,2, 126.6666,2, 126.9568,2,    94.9,2,   37.89,2,    0.00,2,    2.67,2,   0.041,2,   0.030,2,   0.0000,2,  2294.5,2,  2365.6,2,   7.5183,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170919,       16, -32.5001, -92.6552,        0.0,1,      0.062,1,      4.685,1,      0.136,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     2.8547,2
320620170820,        P06,     214,          1,         15,         15,2,20170918,       2307,   -32.5002,   -92.6548,       4676,  1452.1,   3.0635,  34.5482,2,  34.5502,2, 120.9295,2, 121.4114,2,    90.2,2,   38.45,2,    0.00,2,    2.71,2,   0.041,2,   0.030,2,   0.0000,2,  2294.2,2,  2360.2,6,   7.5056,2,    25.00,  -999.0,9,  -999.0,    37.9,2, -999.00,9,     -999.0,1, 20170919,       19, -32.5001, -92.6552,        0.0,1,      0.062,1,      4.686,1,      0.133,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     3.0287,2
320620170820,        P06,     214,          1,         16,         16,2,20170918,       2307,   -32.5002,   -92.6548,       4676,  1346.9,   3.2182,  34.5281,2,  34.5331,2, 118.6765,2, 118.7952,2,    85.4,2,   38.71,2,    0.00,2,    2.72,2,   0.045,2,   0.035,2,   0.0000,2,  2291.3,6,  2354.9,2,   7.5012,2,    25.00,  -999.0,9,  -999.0,    36.2,2, -999.00,9,     -999.0,1, 20170919,       22, -32.5000, -92.6555,        0.0,1,      0.061,1,      4.685,1,      0.132,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     3.1773,2
320620170820,        P06,     214,          1,         17,         17,2,20170918,       2307,   -32.5002,   -92.6548,       4676,  1246.6,   3.3778,  34.4842,2,  34.4907,2, 122.7267,2, 122.7965,2,    74.7,2,   38.56,2,    0.00,2,    2.70,2,   0.057,2,   0.041,2,   0.0000,2,  2280.3,2,  2342.5,2,   7.4979,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170919,       25, -32.5000, -92.6556,        0.0,1,      0.063,1,      4.686,1,      0.134,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     3.3426,2
320620170820,        P06,     214,          1,         18,         18,2,20170918,       2307,   -32.5002,   -92.6548,       4676,  1146.2,   3.5624,  34.4304,2,  34.4398,2, 136.6652,2,   135.59,2,    62.8,2,   37.65,2,    0.00,2,    2.62,2,   0.108,2,   0.073,2,   0.0000,2,  2262.1,2,  2328.7,2,   7.5113,2,    25.00,  -999.0,9,  -999.0,    37.0,2, -999.00,9,     -999.0,1, 20170919,       28, -32.5000, -92.6554,        0.0,1,      0.061,1,      4.686,1,      0.137,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     3.5144,2
320620170820,        P06,     214,          1,         19,         19,2,20170918,       2307,   -32.5002,   -92.6548,       4676,  1046.2,   3.8020,  34.3709,2,  34.3800,2, 156.3895,2, 156.1313,2,    49.4,2,   35.98,2,    0.00,2,    2.49,2,   0.335,2,   0.184,2,   0.0210,2,  2238.4,2,  2312.4,2,   7.5371,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170919,       31, -32.5002, -92.6550,        0.0,1,      0.061,1,      4.686,1,      0.136,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     3.7486,2
320620170820,        P06,     214,          1,         20,         20,2,20170918,       2307,   -32.5002,   -92.6548,       4676,   942.5,   4.1782,  34.3097,2,  34.3140,2, 189.2369,2, 188.4253,2,    34.6,2,   32.77,2,    0.00,2,    2.26,2,   0.943,2,   0.477,2,   0.0800,2,  2240.2,3,  2298.7,2,   7.5867,2,    25.00,  -999.0,9,  -999.0,    38.1,2, -999.00,9,     -999.0,1, 20170919,       34, -32.5001, -92.6553,        0.0,1,      0.060,1,      4.686,1,      0.133,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     4.0896,2
320620170820,        P06,     214,          1,         21,         21,2,20170918,       2307,   -32.5002,   -92.6548,       4676,   842.0,   4.6650,  34.2759,2,  34.2705,2, 211.8023,2, 211.3785,2,    22.3,2,   29.78,2,    0.00,2,    2.05,2,   2.052,2,   1.013,2,   0.3380,2,  2183.3,2,  2286.0,2,   7.6247,2,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170919,       36, -32.5000, -92.6555,        0.0,1,      0.061,1,      4.686,1,      0.134,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     4.7028,2
320620170820,        P06,     214,          1,         22,         22,2,20170918,       2307,   -32.5002,   -92.6548,       4676,   743.0,   5.1866,  34.2530,2,  34.2499,2, 229.9345,2, 229.9628,2,    14.3,2,   27.11,2,    0.00,2,    1.88,2,   3.115,2,   1.539,2,   0.5550,2,  2166.7,2,  2278.8,2,   7.6569,2,    25.00,  -999.0,9,  -999.0,    39.8,2, -999.00,9,     -999.0,1, 20170919,       39, -32.5000, -92.6555,        0.0,1,      0.060,1,      4.686,1,      0.135,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     5.2334,2
320620170820,        P06,     214,          1,         23,         23,2,20170918,       2307,   -32.5002,   -92.6548,       4676,   640.5,   5.6586,  34.2543,2,  34.2513,2, 241.2953,2, 242.7845,2,    10.5,2,   25.01,2,    0.00,2,    1.74,2,   3.679,2,   1.871,2,   0.8250,2,  2156.4,2,  2275.7,2,   7.6766,2,    25.00,  -999.0,9,  -999.0,    41.6,2, -999.00,9,     -999.0,1, 20170919,       42, -32.5000, -92.6554,        0.0,1,      0.059,1,      4.685,1,      0.136,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     5.6227,2
320620170820,        P06,     214,          1,         24,         24,2,20170918,       2307,   -32.5002,   -92.6548,       4676,   540.2,   6.0307,  34.2708,2,  34.2660,2, 244.7112,2, 245.6277,2,     8.7,2,   23.77,2,    0.00,2,    1.66,2,   3.827,2,   2.005,2,   0.9710,2,  2151.9,6,  2275.4,2,   7.6841,2,    25.00,  -999.0,9,  -999.0,    41.3,2, -999.00,9,     -999.0,1, 20170919,       45, -32.5000, -92.6555,        0.0,1,      0.060,1,      4.684,1,      0.136,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     5.9873,2
320620170820,        P06,     214,          1,         25,         25,2,20170918,       2307,   -32.5002,   -92.6548,       4676,   467.8,   6.3988,  34.2854,2,  34.2805,2, 236.9428,3, 233.6648,2,     8.4,2,   24.02,2,    0.00,2,    1.68,2,   3.806,2,   1.998,2,   0.8920,2,  2157.2,2,  2274.0,2,   7.6686,2,    25.00,  -999.0,9,  -999.0,    42.9,2,   27.30,2,     -999.0,1, 20170919,       47, -32.5000, -92.6556,        0.0,1,      0.059,1,      4.684,1,      0.135,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     6.3204,2
320620170820,        P06,     214,          1,         26,         26,2,20170918,       2307,   -32.5002,   -92.6548,       4676,   419.1,   6.8717,  34.2884,2,  34.2844,2, 206.9129,2, 211.0705,2,     8.6,2,   24.79,2,    0.00,2,    1.76,2,   3.627,2,   1.892,2,   0.9560,2,  2167.6,2,  2271.1,2,   7.6392,2,    25.00,  -999.0,9,  -999.0,    42.8,2,   27.50,2,     -999.0,1, 20170919,       49, -32.5000, -92.6556,        0.0,1,      0.061,1,      4.682,1,      0.138,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     6.7753,2
320620170820,        P06,     214,          1,         27,         27,2,20170918,       2307,   -32.5002,   -92.6548,       4676,   367.3,   7.3658,  34.2712,2,  34.2695,3, 200.0403,2, 200.8912,2,     7.9,2,   24.21,2,    0.00,2,    1.78,2,   3.524,2,   1.855,2,   0.9140,2,  2168.0,2,  2270.6,2,   7.6313,6,    25.00,  -999.0,9,  -999.0,  -999.0,9, -999.00,9,     -999.0,9, 20170919,       51, -32.5000, -92.6554,        0.0,1,      0.060,1,      4.681,1,      0.136,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     7.3648,2
320620170820,        P06,     214,          1,         28,         28,2,20170918,       2307,   -32.5002,   -92.6548,       4676,   318.7,   8.2079,  34.2282,2,  34.2219,2, 206.2247,2, 205.4088,2,     5.2,2,   21.08,2,    0.00,2,    1.59,2,-999.000,5,-999.000,5,-999.0000,5,  2151.2,2,  2266.4,2,   7.6621,2,    25.00,  -999.0,9,  -999.0,    42.7,2,   23.30,2,     -999.0,1, 20170919,       53, -32.5001, -92.6552,        0.0,1,      0.060,1,      4.680,1,      0.135,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     8.4498,2
320620170820,        P06,     214,          1,         29,         29,2,20170918,       2307,   -32.5002,   -92.6548,       4676,   265.8,   9.6848,  34.2018,2,  34.1991,2, 217.3611,2, 215.5792,2,     1.9,2,   16.39,2,    0.00,2,    1.25,2,   3.328,2,   1.838,2,   1.3130,2,  2125.4,2,  2260.7,2,   7.7266,2,    25.00,  -999.0,9,  -999.0,    46.5,3,   19.90,2,     -999.0,1, 20170919,       55, -32.5002, -92.6550,        0.0,1,      0.061,1,      4.677,1,      0.137,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    10.0707,2
320620170820,        P06,     214,          1,         30,         30,2,20170918,       2307,   -32.5002,   -92.6548,       4676,   217.2,  11.8141,  34.2848,2,  34.3080,2, 217.4797,2, 215.5786,2,     0.6,2,   10.42,2,    0.02,2,    0.88,2,   3.004,2,   1.710,2,   1.4110,2,  2100.7,2,  2267.3,2,   7.7941,2,    25.00,  -999.0,9,  -999.0,    45.1,2,   14.20,2,     -999.0,1, 20170919,       57, -32.5002, -92.6549,        0.0,1,      0.065,1,      4.673,1,      0.140,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    12.2687,2
320620170820,        P06,     214,          1,         31,         31,2,20170918,       2307,   -32.5002,   -92.6548,       4676,   164.7,  15.8043,  34.6803,2,  34.7068,2, 244.9531,2, 244.1521,2,     0.1,2,    0.12,2,    0.07,2,    0.24,2,   2.390,2,   1.415,2,   1.5110,2,  2053.5,2,  2291.9,2,   7.9369,2,    25.00,  -999.0,9,  -999.0,    57.1,2,    5.10,2,     -999.0,1, 20170919,       59, -32.5003, -92.6547,        0.0,1,      0.147,1,      4.628,1,      0.210,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    15.9355,2
320620170820,        P06,     214,          1,         32,         32,2,20170918,       2307,   -32.5002,   -92.6548,       4676,   114.0,  15.8956,  34.6976,2,  34.7178,2,  245.068,2, 245.7375,2,     0.0,2,    0.06,2,    0.06,2,    0.22,2,   2.377,2,   1.395,2,   1.5320,2,  2053.2,2,  2293.5,2,   7.9395,2,    25.00,  -999.0,9,  -999.0,    60.3,2,    5.60,2,     -999.0,1, 20170919,      101, -32.5002, -92.6549,        0.0,1,      0.176,1,      4.613,1,      0.211,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    15.9662,2
320620170820,        P06,     214,          1,         33,         33,2,20170918,       2307,   -32.5002,   -92.6548,       4676,    85.9,  15.8894,  34.6964,2,  34.7166,2, 245.0436,2, 245.5707,2,     0.0,2,    0.06,2,    0.06,2,    0.21,2,   2.377,2,   1.401,2,   1.5100,2,  2052.9,2,  2294.2,2,   7.9388,2,    25.00,  -999.0,9,  -999.0,    58.1,2,    5.00,2,     -999.0,1, 20170919,      102, -32.5002, -92.6551,        0.0,1,      0.175,1,      4.608,1,      0.215,1,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,     -999.0,9,    15.9585,2
